Source	Target	Weight	color
SMARCA5	HDAC2	0.0	white
PER2	RBX1	0.0	white
KDM5A	RB1	0.0	white
GFAP	EEF1A1	0.0	white
IRF4	PAX5	0.0	white
IRF4	TRAF6	0.0	white
HOXA9	NUP98	0.0	white
RBX1	PRAMEF6	0.0	white
BMP4	NOG	0.0	white
PRDM1	HDAC2	0.0	white
ALX1	CLEC12B	0.999973690674187	white
NFYB	EP300	0.0	white
HSF1	HSPA4	0.0	white
MIXL1	FOXH1	0.0	white
RBX1	KLHL3	0.0	white
TBP	TAF4B	0.0	white
STAT6	IL13RA1	0.0	white
APBB1	KAT5	0.0	white
OLIG1	ID2	0.0	white
PPARA	BPIFB4	0.99999868507639	white
KLF5	FBXW7	0.0	white
ARID4A	RBBP4	0.0	white
PDX1	PRKACB	0.0	white
ENPP1	GUCY2C	0.0	white
LHX8	FIGLA	0.0	white
CSDE1	PABPC1	0.0	white
H3-7	KAT6A	0.0	white
BSX	DNAI1	0.919163163637093	white
NKX6-1	ATP2A3	0.941972017039536	white
HSP90AA1	CDK4	0.0	white
KLF5	EP300	0.0	white
BMAL1	CSNK1D	0.0	white
GATA3	ETS1	0.0	white
RUNX1	ETS1	0.0	white
MAX	TAF9	0.0	white
E2F5	SMAD2	0.0	white
STAT3	PDGFRA	0.0	white
PRKG1	GUCY1A1	0.0	white
E2F1	CDK4	0.0	white
NR3C1	JUN	0.0	white
GFI1	HDAC1	0.0	white
ESR1	JUN	0.0	white
NKX6-1	ADGRA2	0.942388977365929	white
TP53	PLK3	0.0	white
ZFP260	GOT1	0.949796154314117	white
ELF4	ELF3	0.0	white
RBBP4	MYBL2	0.0	white
TUB	BACH2	0.942569868853766	white
GYS1	PRKACA	0.0	white
E2F2	RB1	0.0	white
COQ2	PDSS1	0.0	white
EP300	JUN	0.0	white
PPARA	ST6GALNAC2	0.999992228606954	white
ARRB2	PTH1R	0.0	white
BMP15	BMPR2	0.0	white
TERF1	ATM	0.0	white
SIX1	DACH1	0.0	white
ID4	TCF4	0.0	white
PPARG	CD36	0.0	white
CYP1A1	HSD3B2	0.0	white
HSP90B1	SDF2L1	0.0	white
HSPA5	ACE2	0.0	white
YBX3	CCND1	0.0	white
XBP1	HIF1A	0.0	white
POU2F1	HCFC1	0.0	white
SIN3A	RBBP4	0.0	white
HES1	TLE1	0.0	white
ARID4B	HDAC2	0.0	white
PIK3CA	FLT3	0.0	white
SRC	ITGA4	0.0	white
MAF	JUN	0.0	white
CYP3A4	HSD3B1	0.0	white
MAPK1	PLA2G4D	0.0	white
GPR161	ARRB2	0.0	white
HMGB1	CXCR4	0.0	white
MED1	RPS6	0.0	white
PGR	NCOA2	0.0	white
MED1	RPL15	0.0	white
FOSL1	FOSB	0.0	white
PIK3R1	FLT3	0.0	white
OLIG1	ID4	0.0	white
CREB3	CAMK4	0.0	white
HBP1	SIN3A	0.0	white
MAPK1	MITF	0.0	white
KDM5C	H3C13	0.0	white
RORC	NCOA2	0.0	white
AFF4	SUPT5H	0.0	white
PPARA	JUN	0.0	white
MED1	JUN	0.0	white
CEBPB	JUN	0.0	white
RERE	HDAC1	0.0	white
