Source	Target	Weight	color
ZFP879	SOSTDC1	0.99999144330527	white
PPARA	BPIFB4	0.99999868507639	white
ALX1	TUBB2A	0.999977606023326	white
ZFP113	SELENOK	0.98008712785175	white
MEF2C	ABRACL	0.999968084060647	white
NKX6-1	ANKRD29	0.999985022060237	white
TUB	FLI1	0.999988121706822	white
MEF2C	CLEC12B	0.999966478739316	white
NKX6-1	DOCK6	0.99997976142361	white
NKX6-1	ZFC3H1	0.999982130143412	white
PPARA	LY6E	0.999967820505874	white
ZFP113	B4GALT7	0.980085664682567	white
MEF2C	OAS2	0.999981218792183	white
RFX4	DOCK6	0.999997016384995	white
HES2	FLI1	0.999997211196067	white
ALX1	PLBD1	0.999974550567096	white
PPARA	ST6GALNAC2	0.999992228606954	white
HOXA6	MCF2L	0.99996747654347	white
ZFP879	CHIT1	0.999992210206734	white
HES3	ITPR2	0.961035360107177	white
HES3	DGKZ	0.961062673522215	white
HOXA6	ARHGEF12	0.999961051501571	white
ALX1	EIF1B	0.999980908069655	white
PPARA	RIOK3	0.999994583276748	white
PPARA	SH2D3C	0.999983115742394	white
TUB	TMEM59	0.999981859336419	white
ZFP879	ETV4	0.999981870155882	white
HES3	COLGALT2	0.96104240831216	white
HES3	TRPC5OS	0.961044039386541	white
HES3	BPIFB4	0.961044749511653	white
HES2	RPS23	0.999988369836435	white
HOXA6	CLEC14A	0.999941906596634	white
HOXA6	ADGRA2	0.999932304213579	white
ALX1	CHIT1	0.999973696322569	white
PPARA	RAPGEF4	0.999994312603131	white
MEF2C	PDIA3	0.999961409252172	white
MEF2C	MELK	0.999958258167902	white
HOXA6	TMEM204	0.999992127370484	white
RFX4	ZFC3H1	0.999995393337929	white
TUB	RPS23	0.999981502565006	white
ZFP879	NUCB2	0.999983708232437	white
ZBTB32	MYCBP2	0.999976584974488	white
ALX1	NUCB2	0.99996520519228	white
TUB	KIF13A	0.999983865152282	white
RFX4	HIVEP1	0.999989528844354	white
HES3	GDPD4	0.961046578352162	white
ALX1	MELK	0.999962047458687	white
HOXA6	ANKRD29	0.999992320002692	white
ZBTB32	DCHS1	0.999999552500221	white
ZFP113	UBE2QL1	0.980093041957534	white
ALX1	PDIA3	0.999967601602628	white
HES2	PLPP5	0.999982089937686	white
PPARA	ETV4	0.999983115742394	white
HOXA6	CEMIP	0.999893677155098	white
HES3	ST6GALNAC2	0.961039994262481	white
ZBTB32	HPGD	0.999971156136715	white
ALX1	CNOT8	0.999985933427401	white
ALX1	DCUN1D1	0.99996597851608	white
NKX6-1	MTOR	0.999972135111701	white
ZFP113	HYPK	0.980087327074971	white
PPARA	TRPC5OS	0.999987281451287	white
MEF2C	NUCB2	0.999962022628243	white
ZFP879	ABRACL	0.999993731258984	white
NKX6-1	PKD1	0.999978616136327	white
ALX1	WDR31	0.999975026520463	white
MEF2C	RPS15	0.999965426661493	white
MEF2C	M1AP	0.999971652429783	white
ZBTB32	GIMAP5	0.999976466497302	white
HOXA6	DNAH17	0.99998667068019	white
NKX6-1	TRRAP	0.999983502846857	white
PPARA	GDPD4	0.999991896087468	white
RFX4	CHRDL1	0.999995883594538	white
ALX1	CSTB	0.999977772352099	white
RFX4	VSTM2B	0.999994677039466	white
PPARA	TPSB2	0.999996197836263	white
MEF2C	CHIT1	0.999967294163639	white
ZFP879	SH2D3C	0.999981870155882	white
ZFP113	NFAT5	0.980114757400469	white
RFX4	DNAH17	0.999997565710309	white
NKX6-1	CLEC14A	0.999979545816485	white
NKX6-1	HIVEP1	0.999987235931316	white
RFX4	SH2D3C	0.999993669222783	white
NKX6-1	DNAH17	0.99998286477944	white
HOXA6	NSMCE4A	0.999912458834559	white
ALX1	CLEC12B	0.999973690674187	white
NKX6-1	MCF2L	0.999978512274728	white
ALX1	PREX2	0.999983718301778	white
ALX1	OAS2	0.999988014691233	white
RFX4	TRRAP	0.999974633171117	white
HOXA6	GSE1	0.999953297176938	white
RFX4	TMEM204	0.99999540070191	white
MEF2C	PREX2	0.999962192108156	white
TUB	PLEC	0.999983708060197	white
NKX6-1	TMEM204	0.999984732869278	white
MEF2C	SOSTDC1	0.99996720745176	white
HOXA6	CHRDL1	0.99998527575753	white
RFX4	ANKRD29	0.999995405807644	white
ZFP879	RPS15	0.99999372189344	white
MEF2C	MRPL51	0.99993761126033	white
ALX1	HERC2	0.999934941201998	white
HES3	LY6E	0.961050277816582	white
MEF2C	SH2D3C	0.999958258381289	white
RFX4	ETV4	0.999993669222782	white
ZFP113	NOPCHAP1	0.980064787028716	white
HOXA6	PPP1R16B	0.999923877004104	white
ALX1	SOSTDC1	0.999973762409619	white
RFX4	PKD1	0.999994697096826	white
NKX6-1	CHRDL1	0.999986132732869	white
ZFP879	MELK	0.999982119093268	white
HES3	RAPGEF4	0.96103398511386	white
MEF2C	ETV4	0.999958258381289	white
HES3	TPSB2	0.961038861678582	white
HOXA6	DOCK6	0.999988433711625	white
TUB	CCR1	0.999979642173636	white
ALX1	M1AP	0.999983026106129	white
PPARA	USP36	0.999995316728274	white
ZFP879	WDR31	0.999994068955109	white
PPARA	COLGALT2	0.999996082882325	white
ZFP113	PFDN5	0.980087080756575	white
RFX4	MCF2L	0.999982754774397	white
HES2	TMEM59	0.999992922950584	white
MEF2C	HERC2	0.999908113158713	white
NKX6-1	VSTM2B	0.999979471216326	white
HES2	CCR1	0.999984379522247	white
