id	type	is_nuclear	recorded	regulation_color	community_color	community_name
ABRACL	DEG		False	red	#ff7f0e	island1_comm2
ACE2	DEG		False	blue	#2ca02c	island1_comm3
ACER2	DEG	False	False	blue	#637939	island6_comm1
ACTB	Intermediate	True	True	red	#8dd3c7	island1_comm11
ACTL6A	Intermediate	True	False	red	#d62728	island1_comm4
ADCY1	DEG		False	blue	#1f77b4	island1_comm1
ADGRA2	DEG		False	blue	#ff7f0e	island1_comm2
ADNP	TF	False	False	blue	#d62728	island1_comm4
ADRB1	DEG	False	True	blue	#2ca02c	island1_comm3
AFF2	TF	True	False	blue	#ffed6f	island4_comm1
AFF4	TF	True	False	blue	#d62728	island1_comm4
AGER	DEG	False	True	blue	#17becf	island1_comm10
AGT	Intermediate		True	red	#2ca02c	island1_comm3
AGTR1	DEG	False	True	blue	#2ca02c	island1_comm3
AHR	TF		False	blue	#8dd3c7	island1_comm11
AKAP13	DEG		False	blue	#1f77b4	island1_comm1
AKT1	Intermediate	False	True	blue	#1f77b4	island1_comm1
ALX1	TF				#ff7f0e	island1_comm2
AMOTL1	DEG		False	blue	#1f77b4	island1_comm1
AMOTL2	DEG	False	False	blue	#1f77b4	island1_comm1
ANKRD29	DEG		False	blue	#ff7f0e	island1_comm2
ANKRD52	DEG		False	blue	#bc80bd	island2_comm1
APBB1	Intermediate	True	False	blue	#e377c2	island1_comm7
APOF	DEG	False	False	blue	#bc80bd	island2_comm1
APP	Intermediate	True	False	blue	#8dd3c7	island1_comm11
AR	TF		False	blue	#e377c2	island1_comm7
ARF4	DEG	False	False	red	#bcbd22	island1_comm9
ARHGDIB	DEG	False	False	blue	#1f77b4	island1_comm1
ARHGEF12	DEG	False	False	blue	#ff7f0e	island1_comm2
ARID1A	TF		False	blue	#d62728	island1_comm4
ARID3A	TF	False	True	blue	#9467bd	island1_comm5
ARID4A	TF	False	False	blue	#d62728	island1_comm4
ARID4B	TF		False	blue	#d62728	island1_comm4
ARRB1	Intermediate	True	True	red	#2ca02c	island1_comm3
ARRB2	Intermediate		False	red	#2ca02c	island1_comm3
ASCL1	Intermediate				#17becf	island1_comm10
ASCL2	TF	False	True	red	#9467bd	island1_comm5
ATF2	TF	False	True	blue	#8c564b	island1_comm6
ATF3	TF		False	blue	#8c564b	island1_comm6
ATF6	TF		False	red	#2ca02c	island1_comm3
ATF6B	TF	False	True	red	#8c564b	island1_comm6
ATF7	TF	False	False	blue	#1f77b4	island1_comm1
ATF7IP	Intermediate	True	False	blue	#b3de69	island1_comm17
ATM	Intermediate		False	blue	#9467bd	island1_comm5
ATP2A3	DEG	True	False	blue	#ff7f0e	island1_comm2
ATRNL1	DEG		False	blue	#ff7f0e	island1_comm2
ATXN1	Intermediate	True	False	blue	#e377c2	island1_comm7
AURKAIP1	DEG	False	False	red	#bc80bd	island2_comm1
B4GALT7	DEG	False	False	red	#ccebc5	island3_comm1
BACH2	TF	False	False	blue	#bcbd22	island1_comm9
BAHD1	DEG	False	False	blue	#2ca02c	island1_comm3
BAIAP2L1	DEG	False	False	blue	#bc80bd	island2_comm1
BATF	Intermediate				#1f77b4	island1_comm1
BATF2	TF				#1f77b4	island1_comm1
BAZ2A	TF		False	blue	#d62728	island1_comm4
BAZ2B	TF		False	blue	#d62728	island1_comm4
BCL2	Intermediate		False	blue	#1f77b4	island1_comm1
BCL6	TF	False	False	red	#1f77b4	island1_comm1
BCL6B	TF	False	False	blue	#1f77b4	island1_comm1
BCL9L	DEG	False	False	blue	#e377c2	island1_comm7
BHLHE40	TF	True	True	red	#2ca02c	island1_comm3
BMAL1	Intermediate		False	blue	#2ca02c	island1_comm3
BMP15	Intermediate				#fccde5	island1_comm18
BMP4	Intermediate	False	True	blue	#17becf	island1_comm10
BMPR1B	Intermediate				#fccde5	island1_comm18
BMPR2	Intermediate	False	True	red	#fccde5	island1_comm18
BPIFB4	DEG	False	False	blue	#ff7f0e	island1_comm2
BRCA1	Intermediate		False	red	#9467bd	island1_comm5
BSX	TF				#80b1d3	island1_comm15
BTK	Intermediate				#fb8072	island1_comm14
BUB1B	Intermediate	True	False	red	#9467bd	island1_comm5
BUD31	DEG	False	False	red	#e377c2	island1_comm7
CALR	Intermediate		True	red	#2ca02c	island1_comm3
CAMK4	Intermediate				#8c564b	island1_comm6
CAPN11	DEG		False	blue	#80b1d3	island1_comm15
CCL4	Intermediate				#2ca02c	island1_comm3
CCND1	DEG	True	True	blue	#9467bd	island1_comm5
CCR1	DEG	False	True	blue	#bcbd22	island1_comm9
CD24	DEG	False	True	red	#17becf	island1_comm10
CD2AP	DEG	True	True	red	#ccebc5	island3_comm1
CD34	DEG	True	True	blue	#1f77b4	island1_comm1
CD36	DEG	False	False	blue	#2ca02c	island1_comm3
CD4	Intermediate				#2ca02c	island1_comm3
CD8A	Intermediate				#2ca02c	island1_comm3
CDC5L	TF	True	False	red	#e377c2	island1_comm7
CDH1	Intermediate	True	True	red	#d62728	island1_comm4
CDK2	Intermediate		False	blue	#9467bd	island1_comm5
CDK4	DEG	True	True	red	#9467bd	island1_comm5
CDKN1A	Intermediate	True	False	red	#9467bd	island1_comm5
CDKN1C	Intermediate	False	True	blue	#9467bd	island1_comm5
CDX2	TF	True	True	red	#bebada	island1_comm13
CEBPA	TF	True	True	blue	#1f77b4	island1_comm1
CEBPB	Intermediate		False	red	#1f77b4	island1_comm1
CEMIP	DEG	True	False	blue	#ff7f0e	island1_comm2
CERK	DEG	False	True	blue	#637939	island6_comm1
CERS2	TF		False	blue	#637939	island6_comm1
CERS5	TF	False	False	blue	#637939	island6_comm1
CERS6	TF	False	False	blue	#637939	island6_comm1
CHD4	Intermediate		False	blue	#d62728	island1_comm4
CHIT1	DEG	False	True	red	#ff7f0e	island1_comm2
CHRDL1	DEG		False	blue	#ff7f0e	island1_comm2
CIC	TF		False	blue	#e377c2	island1_comm7
CIITA	Intermediate				#1f77b4	island1_comm1
CLDN5	Intermediate		True	blue	#b5cf6b	island8_comm1
CLEC12B	DEG	False	False	red	#ff7f0e	island1_comm2
CLEC14A	DEG	False	False	blue	#ff7f0e	island1_comm2
CLIP2	DEG	False	False	blue	#fb8072	island1_comm14
CLOCK	TF	False	False	blue	#2ca02c	island1_comm3
CNOT8	DEG	False	False	red	#ff7f0e	island1_comm2
COLGALT2	DEG		False	blue	#ff7f0e	island1_comm2
COQ2	Intermediate		False	red	#ffffb3	island1_comm12
CPLX2	DEG	False	False	blue	#bc80bd	island2_comm1
CREB1	Intermediate	False	False	red	#8c564b	island1_comm6
CREB3	TF	True	False	blue	#8c564b	island1_comm6
CREB3L1	TF	False	False	red	#8c564b	island1_comm6
CREB3L2	TF	False	False	red	#8c564b	island1_comm6
CREB3L3	TF	False	False	red	#8c564b	island1_comm6
CREB5	TF	False	False	red	#8c564b	island1_comm6
CREBZF	TF		False	blue	#bebada	island1_comm13
CREM	TF		False	red	#8c564b	island1_comm6
CRK	Intermediate	False	False	blue	#1f77b4	island1_comm1
CSDE1	TF	False	False	blue	#e377c2	island1_comm7
CSNK1D	Intermediate		False	blue	#2ca02c	island1_comm3
CSNK2A1	Intermediate	False	False	blue	#2ca02c	island1_comm3
CSTB	DEG		False	red	#ff7f0e	island1_comm2
CUL1	Intermediate	False	False	red	#bcbd22	island1_comm9
CXCR4	DEG	False	True	red	#2ca02c	island1_comm3
CYP1A1	Intermediate				#ffffb3	island1_comm12
CYP3A4	Intermediate				#ffffb3	island1_comm12
CYP7A1	Intermediate				#ffffb3	island1_comm12
DACH1	Intermediate				#d9d9d9	island1_comm19
DAPK3	Intermediate	False	True	red	#2ca02c	island1_comm3
DCHS1	DEG	False	False	blue	#8ca252	island7_comm1
DCUN1D1	DEG	False	False	red	#ff7f0e	island1_comm2
DDB1	Intermediate	False	False	blue	#d62728	island1_comm4
DENND3	DEG		False	blue	#bc80bd	island2_comm1
DGKZ	DEG	True	False	blue	#ff7f0e	island1_comm2
DHCR7	Intermediate		False	red	#ffffb3	island1_comm12
DHX9	Intermediate	True	False	blue	#e377c2	island1_comm7
DISC1	DEG	True	True	red	#1f77b4	island1_comm1
DISP1	Intermediate		False	blue	#17becf	island1_comm10
DNAH17	DEG		False	blue	#ff7f0e	island1_comm2
DNAI1	DEG		False	blue	#80b1d3	island1_comm15
DNAJC3	Intermediate	False	True	red	#2ca02c	island1_comm3
DNAJC9	DEG	False	False	red	#80b1d3	island1_comm15
DOCK6	DEG	True	False	blue	#ff7f0e	island1_comm2
DVL1	DEG	False	False	blue	#2ca02c	island1_comm3
DYNLT1	DEG	False	False	red	#fccde5	island1_comm18
E2F1	Intermediate	True	True	blue	#9467bd	island1_comm5
E2F2	TF	False	False	blue	#9467bd	island1_comm5
E2F4	Intermediate	False	True	blue	#9467bd	island1_comm5
E2F5	TF	False	False	red	#9467bd	island1_comm5
E2F6	TF		False	blue	#9467bd	island1_comm5
E2F8	TF	False	True	blue	#9467bd	island1_comm5
E4F1	TF		False	blue	#9467bd	island1_comm5
EBF1	TF	False	True	blue	#1f77b4	island1_comm1
EDN1	DEG	False	True	blue	#bc80bd	island2_comm1
EEF1A1	Intermediate		False	red	#7f7f7f	island1_comm8
EGR1	DEG	False	True	blue	#8c564b	island1_comm6
EIF1B	DEG	False	False	red	#ff7f0e	island1_comm2
EIF2S1	Intermediate	False	True	red	#7f7f7f	island1_comm8
ELF3	TF	False	False	red	#8c564b	island1_comm6
ELF4	TF	True	False	blue	#8c564b	island1_comm6
ENPP1	Intermediate	False	True	blue	#fb8072	island1_comm14
ENPP3	Intermediate		False	red	#fb8072	island1_comm14
EP300	Intermediate		False	blue	#8c564b	island1_comm6
EPPK1	DEG	False	False	blue	#80b1d3	island1_comm15
ERG	TF		False	blue	#2ca02c	island1_comm3
ESR1	TF		True	red	#1f77b4	island1_comm1
ESRRG	TF				#8c564b	island1_comm6
ETS1	DEG	False	False	blue	#8c564b	island1_comm6
ETS2	TF	False	True	blue	#8c564b	island1_comm6
ETV4	TF	False	False	red	#ff7f0e	island1_comm2
EVA1A	DEG	False	False	red	#ff7f0e	island1_comm2
EYA1	Intermediate	True	False	red	#d9d9d9	island1_comm19
FANCE	Intermediate	True	False	red	#7f7f7f	island1_comm8
FBRS	DEG		False	blue	#9467bd	island1_comm5
FBXL18	DEG	False	False	blue	#bcbd22	island1_comm9
FBXW7	Intermediate	False	False	blue	#1f77b4	island1_comm1
FDFT1	Intermediate	False	False	red	#ffffb3	island1_comm12
FETUB	DEG		False	red	#ff7f0e	island1_comm2
FIGLA	Intermediate				#fccde5	island1_comm18
FKBP5	Intermediate	False	False	blue	#8c564b	island1_comm6
FLI1	TF		False	blue	#bcbd22	island1_comm9
FLNA	DEG		False	blue	#9467bd	island1_comm5
FLT3	DEG	False	True	blue	#1f77b4	island1_comm1
FMR1	Intermediate	True	True	blue	#ffed6f	island4_comm1
FOSB	DEG	False	False	blue	#8c564b	island1_comm6
FOSL1	TF	False	True	red	#8c564b	island1_comm6
FOXA2	TF	False	True	blue	#7f7f7f	island1_comm8
FOXF1	TF	False	True	blue	#17becf	island1_comm10
FOXH1	Intermediate				#9467bd	island1_comm5
FOXL2	TF	False	True	blue	#9467bd	island1_comm5
FOXN3	TF		False	blue	#d62728	island1_comm4
FOXO1	TF	False	True	blue	#8c564b	island1_comm6
FOXO3	TF	False	True	blue	#8c564b	island1_comm6
FOXO4	TF	True	True	red	#8c564b	island1_comm6
FOXP2	TF	False	False	red	#1f77b4	island1_comm1
FOXP3	Intermediate				#7f7f7f	island1_comm8
GAPDH	DEG	True	True	red	#8dd3c7	island1_comm11
GATA3	Intermediate		False	red	#2ca02c	island1_comm3
GBX1	TF				#fccde5	island1_comm18
GCM1	TF	False	True	blue	#2ca02c	island1_comm3
GCM2	Intermediate				#2ca02c	island1_comm3
GDPD3	DEG	True	True	blue	#fb8072	island1_comm14
GDPD4	DEG	False	False	red	#ff7f0e	island1_comm2
GFAP	Intermediate				#17becf	island1_comm10
GFI1	TF				#d62728	island1_comm4
GGH	DEG		False	red	#bc80bd	island2_comm1
GIMAP5	DEG	False	False	blue	#8ca252	island7_comm1
GLS	DEG	False	False	blue	#ff7f0e	island1_comm2
GOT1	DEG	False	True	red	#bc80bd	island2_comm1
GPR161	Intermediate	False	False	blue	#1f77b4	island1_comm1
GSC	TF	False	False	red	#d62728	island1_comm4
GSE1	DEG		False	blue	#ff7f0e	island1_comm2
GSK3B	Intermediate	False	False	blue	#8c564b	island1_comm6
GTF2I	TF		False	blue	#fb8072	island1_comm14
GTF2IRD1	Intermediate	False	False	blue	#fb8072	island1_comm14
GUCY1A1	DEG	False	False	blue	#fb8072	island1_comm14
GUCY2C	DEG	False	False	blue	#fb8072	island1_comm14
GYS1	Intermediate	False	False	red	#fb8072	island1_comm14
H1-0	DEG	True	True	red	#d62728	island1_comm4
H2AC20	Intermediate				#d62728	island1_comm4
H2AC8	Intermediate				#d62728	island1_comm4
H2AZ1	Intermediate		False	red	#d62728	island1_comm4
H3-7	Intermediate				#d62728	island1_comm4
H3C13	Intermediate				#d62728	island1_comm4
H3C14	Intermediate				#d62728	island1_comm4
H4C6	Intermediate				#d62728	island1_comm4
HBP1	TF	True	False	red	#d62728	island1_comm4
HCFC1	Intermediate		False	blue	#bebada	island1_comm13
HDAC1	Intermediate		False	red	#d62728	island1_comm4
HDAC2	Intermediate	False	True	red	#d62728	island1_comm4
HDAC4	Intermediate	True	True	red	#1f77b4	island1_comm1
HERC2	DEG	False	False	blue	#ff7f0e	island1_comm2
HES1	TF	True	False	blue	#e377c2	island1_comm7
HES2	TF				#bcbd22	island1_comm9
HES3	TF				#ff7f0e	island1_comm2
HES6	TF	False	False	red	#e377c2	island1_comm7
HIF1A	Intermediate	True	True	blue	#2ca02c	island1_comm3
HIPK2	DEG	True	False	blue	#d62728	island1_comm4
HIVEP1	TF		False	blue	#ff7f0e	island1_comm2
HIVEP3	TF	False	False	blue	#1f77b4	island1_comm1
HLA-A	DEG	False	True	red	#2ca02c	island1_comm3
HLA-B	DEG		False	red	#2ca02c	island1_comm3
HLA-C	DEG		True	red	#2ca02c	island1_comm3
HLA-DQA1	Intermediate				#2ca02c	island1_comm3
HLA-F	DEG	False	False	red	#2ca02c	island1_comm3
HMGB1	Intermediate				#17becf	island1_comm10
HMGB2	TF	True	False	red	#17becf	island1_comm10
HMGCR	Intermediate	False	False	red	#ffffb3	island1_comm12
HMOX1	DEG		True	red	#bcbd22	island1_comm9
HNRNPU	Intermediate		False	red	#e377c2	island1_comm7
HOXA10	TF	False	True	red	#fdb462	island1_comm16
HOXA5	TF	False	True	blue	#5254a3	island5_comm2
HOXA6	TF				#ff7f0e	island1_comm2
HOXA9	TF	False	True	red	#fdb462	island1_comm16
HOXB4	TF	False	False	blue	#393b79	island5_comm1
HOXB5	TF				#393b79	island5_comm1
HOXB7	TF				#5254a3	island5_comm2
HOXC13	TF	False	False	red	#80b1d3	island1_comm15
HOXC4	TF				#393b79	island5_comm1
HOXC5	TF				#9c9ede	island5_comm4
HOXC6	Intermediate		False	blue	#9c9ede	island5_comm4
HOXD4	TF	False	False	blue	#5254a3	island5_comm2
HPGD	DEG	False	True	red	#8ca252	island7_comm1
HSD11B2	Intermediate	False	True	red	#ffffb3	island1_comm12
HSD3B1	DEG		True	blue	#ffffb3	island1_comm12
HSD3B2	DEG	False	True	blue	#ffffb3	island1_comm12
HSF1	TF		False	blue	#8dd3c7	island1_comm11
